Designator,Mid X,Mid Y,Rotation,Layer
C1,54.61,27.94,270,top
C10,62.23,27.94,270,top
C11,43.43,22.61,0,top
C12,44.45,8.89,270,top
C13,54.61,13.97,90,top
C14,62.23,13.97,90,top
C15,44.45,15.24,0,top
C16,20.32,16.51,90,top
C17,27.94,11.43,180,top
C18,13.97,11.43,180,top
C19,27.94,31.75,0,top
C2,44.45,29.21,90,top
C20,26.67,6.35,0,top
C3,40.64,16.51,90,top
C4,31.75,16.51,270,top
C7,13.97,27.94,0,top
C8,28.45,27.94,180,top
C9,20.19,22.86,270,top
IC1,22.11,31.75,0,top
L1,52.07,33.02,0,top
L2,59.69,33.02,0,top
L3,52.07,7.62,0,top
L4,59.69,7.62,0,top
LED1,26.67,35.56,0,top
LED2,24.13,2.54,90,top
R1,49.53,22.86,180,top
R10,24.13,16.51,90,top
R11,20.32,11.43,0,top
R12,13.97,15.24,180,top
R13,27.94,13.97,180,top
R14,27.94,16.51,0,top
R15,15.24,2.54,180,top
R16,16.51,35.56,180,top
R2,49.53,15.24,180,top
R3,21.59,27.94,180,top
R4,24.38,22.86,90,top
R5,31.88,22.61,270,top
R6,27.94,22.61,270,top
R7,13.97,24.13,180,top
R8,36.83,27.94,0,top
R9,36.83,10.16,0,top
TP1,33.02,34.29,0,top
TP10,58.42,13.97,90,top
TP11,60.96,19.05,180,top
TP2,31.75,6.35,0,top
TP3,44.45,2.54,0,top
TP4,69.85,19.05,90,top
TP5,44.45,34.29,0,top
TP6,49.53,26.67,180,top
TP7,58.42,27.94,90,top
TP8,60.96,22.86,0,top
TP9,49.53,11.43,0,top
U$1,23.07,6.35,0,top
U1,36.83,19.05,270,top
