Qty,Value,Device,Package,Parts,Description,DATASHEET-URL,DATASHEET_URL,DESCRIPTION,FAMILY_NAME,GENDER,GENERIC_PART_NUMBER,INDUSTRY_STD_PKG_TYPE,INTERFACE,MANUFACTURER,MANUFACTURER_PART_NUMBER,MF,MOUNT,MPN,OC_FARNELL,OC_NEWARK,ORIENTATION-TYPE,PACKAGE_DESIGNATOR,PART-NUMBER,PIN_COUNT,POPULARITY,SPICEPREFIX,TP_SIGNAL_NAME,VALUE,VENDOR,Z
2,,DIODESOD-123,SOD-123,"D3, D4",Diode,,,,,,,,,,,,,,,,,,,,,,,,,
2,,LEDSML0805,SML0805,"LED1, LED2",LED,,,,,,,,,,,,,,,,,,,,17,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,100n,C-EUC1206,C1206,"C6, C7","CAPACITOR, European symbol",,,,,,,,,,,,,,,,,,,,54,C,,,,
2,0,R-US_R0805,R0805,"R9, R10","RESISTOR, American symbol",,,,,,,,,,,,,,,,,,,,85,R,,,,
5,100,R-US_R0805,R0805,"R1, R4, R5, R6, R31","RESISTOR, American symbol",,,,,,,,,,,,,,,,,,,,85,R,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1n,C-EUC1206,C1206,C5,"CAPACITOR, European symbol",,,,,,,,,,,,,,,,,,,,54,C,,,,
4,1u,C-EUC1206,C1206,"C3, C4, C13, C14","CAPACITOR, European symbol",,,,,,,,,,,,,,,,,,,,54,C,,,,
6,2.2k,R-US_R0805,R0805,"R2, R3, R7, R8, R32, R33","RESISTOR, American symbol",,,,,,,,,,,,,,,,,,,,85,R,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,SWS004,SWS004,SMS-004,S1,SMD Dip Switch 4 pol.,,,,,,,,,,,,,,,,,,,,6,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
